ТТ;Тип;Код МО;Наименование МО;Адрес;н1;к1;н2;к2;н3;к3;Подпись;Общее МО
*004-0722*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0723*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0724*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0725*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0726*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0727*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0728*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0729*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0730*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0731*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0732*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0783*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0784*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0785*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0792*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0793*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0312*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0334*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0675*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0692*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0693*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0694*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0695*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0696*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0697*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0698*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0699*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0700*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0701*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0702*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0703*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0704*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0705*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0706*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0707*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0708*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0709*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0710*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0711*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0712*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0713*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0714*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0715*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0716*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0717*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0718*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0719*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0720*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0721*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0733*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0734*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0735*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0736*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0737*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0738*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0739*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0740*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0741*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0742*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0743*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0744*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0745*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0746*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0747*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0748*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0749*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0750*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0751*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0752*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0753*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0754*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0755*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0756*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0757*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0758*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0759*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0760*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0761*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0762*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0763*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0764*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0765*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0766*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0767*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0768*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
*004-0769*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 218 Департамента здравоохранения города Москвы""";г. Москва, пр-д Шокальского, д. 8;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГП № 218 ДЗМ»;ГП218
